0	it is dark , brooding and slow , and takes its central idea way too seriously .	It is dark, incubating and slow, and takes its central idea far too seriously.
1	howard conjures the past via surrealist flourishes so overwrought you ' d swear he just stepped out of a buñuel retrospective .	Howard evokes the past through a surrealist so flourishes that you swear that he just came out of a buñuel retrospective.
1	this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .	It is a very ambitious project for a fairly inexperienced filmmaker, but good actors, good poetry and good music help to support it.
0	kicks off with an inauspicious premise , mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper .	begins with an inauspicious premise, mops through a horrific tract of meanders almost without conspiracy and ends with a whirlwind.
0	the screenplay is hugely overwritten , with tons and tons of dialogue - - most of it given to children .	the scenario is massively crushed, with tons and tons of dialogue - - most given to children.
1	this rich , bittersweet israeli documentary , about the life of song-and-dance-man pasach ` ke burstein and his family , transcends ethnic lines .	This rich, bitter, sweet Israeli documentary, about the life of song-and-dance-man pasach `ke burstein and his family, transcends ethnic lines.
0	tries to work in the same vein as the brilliance of animal house but instead comes closer to the failure of the third revenge of the nerds sequel .	Try to work in the same vein as the brilliance of the animal house but rather close to the failure of the third revenge of the nerds after.
0	movies like high crimes flog the dead horse of surprise as if it were an obligation .	films like serious crimes flogged the horse dead of surprise as if it were an obligation.
0	feels less like a cousin to blade runner than like a bottom-feeder sequel in the escape from new york series .	Feels less like a cousin with the racer blade than a background feeder suite in the escape of the New York series.
1	but though he only scratches the surface , at least he provides a strong itch to explore more .	but although it does scratch the surface, at least it provides a strong itching to explore more.
1	a movie that sends you out of the theater feeling like you ' ve actually spent time living in another community .	a film that sends you out of the theater feeling like you've actually spent time living in another community.
1	initially gripping , eventually cloying pow drama .	first catchy, possibly cloir dramatic pow.
1	an intelligent , multi-layered and profoundly humanist ( not to mention gently political ) meditation on the values of knowledge , education , and the affects of cultural and geographical displacement .	intelligent, multilayered and deeply humanistic meditation (without gently speaking political) on the values of knowledge, education and the effects of cultural and geographical displacement.
1	the bourne identity should n't be half as entertaining as it is , but director doug liman and his colleagues have managed to pack it with enough action to satisfy the boom-bam crowd without a huge sacrifice of character and mood .	The binge identity shouldn't be half as entertaining as it is, but director Doug Liman and his colleagues managed to wrap it up with enough action to satisfy the boom-bam crowd without a huge sacrifice of character and mood.
0	a big fat pain .	It's a big pain.
1	not as well-written as sexy beast , not as gloriously flippant as lock , stock and two smoking barrels , but stylish and moody and exceptionally well-acted .	not as well written as the sexy beast, not as gloriously creepy as lock, stock and two smoking barrels, but elegant and moody and exceptionally well played.
1	harks back to a time when movies had more to do with imagination than market research .	Let's go back to a time when films had more to do with imagination than market research.
1	very well written and directed with brutal honesty and respect for its audience .	very well written and directed with brutal honesty and respect for its audience.
0	swiftly deteriorates into a terribly obvious melodrama and rough-hewn vanity project for lead actress andie macdowell .	quickly deteriorates into a project of terribly obvious melodrama and coarse vanity for the actress in chief andie macdowell.
0	stealing harvard will dip into your wallet , swipe 90 minutes of your time , and offer you precisely this in recompense : a few early laughs scattered around a plot as thin as it is repetitious .	Flying Harvard will dive into your wallet, slip 90 minutes of your time, and offer you precisely this as a reward: some early laughs scattered around a terrain as thin as it is repetitive.
1	a poignant and gently humorous parable that loves its characters and communicates something rather beautiful about human nature .	a poignant and gently humorous parable that loves its characters and communicates something rather beautiful about human nature.
1	this is a stunning film , a one-of-a-kind tour de force .	It's a breathtaking film, a unique tour de force.
1	... a sweetly affecting story about four sisters who are coping , in one way or another , with life ' s endgame .	... a story gently touching four sisters who get away with it, in one way or another, with the end of life.
0	imagine susan sontag falling in love with howard stern .	Imagine Susan falling in love with the hood stern.
1	in xxx , diesel is that rare creature - - an action hero with table manners , and one who proves that elegance is more than tattoo deep .	in xxx, diesel is this rare creature - - a hero of action with table manners, and the one that proves that elegance is more than deep tattoo.
0	nemesis suffers from a paunchy midsection , several plodding action sequences and a wickedly undramatic central theme .	nemesis suffers from a semi-section paunchy, several sequences of plodding action and a central malady and sansdramatic theme.
1	performances all around are tops , with the two leads delivering oscar-caliber performances .	the performances all around are the best, with the two leads offering oscar-caliber performances.
1	it ' s a very tasteful rock and roll movie .	It's a very tasty rock and roll movie.
0	i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay .	I could just feel the scriptwriter at every moment 'tap, tap, tap, tap, tap way' on this scenario.
1	offers laughs and insight into one of the toughest ages a kid can go through .	offers laughs and a glimpse of one of the most difficult ages a child can go through.
0	the characterizations and dialogue lack depth or complexity , with the ironic exception of scooter .	characterizations and dialogue lack depth or complexity, with the ironic exception of the scooter.
1	it ' s something of the ultimate scorsese film , with all the stomach-turning violence , colorful new york gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas .	It's something of the ultimate movie scorsese, with all the stomach-turning violence, colorful new lore gang york and other features of his personal cinema painted on their greatest historical canvas.
0	skip this dreck , rent animal house and go back to the source .	Jump this Dreck, rent an animal house and go back to the spring.
0	the movie ' s plot is almost entirely witless and inane , carrying every gag two or three times beyond its limit to sustain a laugh .	the plot of the film is almost entirely spiritless and inane, carrying each gag two or three times beyond its limit to support a laugh.
0	and people make fun of me for liking showgirls .	And people make fun of me to love showgirls.
1	an ambitiously naturalistic , albeit half-baked , drama about an abused , inner-city autistic teen .	an ambitious and naturalistic drama, although half cooked, about an abused teenager, autistic downtown.
0	it has become apparent that the franchise ' s best years are long past .	It became clear that the best years of franchise have passed for a long time.
1	she ' s as rude and profane as ever , always hilarious and , most of the time , absolutely right in her stinging social observations .	It is as rude and profane as ever, always hilarious and, most of the time, absolutely right in its stinging social observations.
1	kosminsky ... puts enough salt into the wounds of the tortured and self-conscious material to make it sting .	kosminsky... put enough salt in the wounds of the tortured and self-conscious material to make him sting.
1	a bold ( and lovely ) experiment that will almost certainly bore most audiences into their own brightly colored dreams .	a bold (and beautiful) experience that will almost certainly attract most audiences into their own brightly coloured dreams.
1	even though many of these guys are less than adorable ( their lamentations are pretty much self-centered ) , there ' s something vital about the movie .	Even though many of these guys are less than adorable (their lamentations are about egocentric), there is something vital in the film.
0	grating and tedious .	grid and tedious.
0	this remake of lina wertmuller ' s 1975 eroti-comedy might just be the biggest husband-and-wife disaster since john and bo derek made the ridiculous bolero .	This remake of lina wertmuller'1975 eroti-comedy could just be the greatest disastrous husband-wife since John and Bo derek makes the ridiculous bolero.
1	brave and sweetly rendered love story .	A brave and gentle love story.
1	mark pellington ' s latest pop thriller is as kooky and overeager as it is spooky and subtly in love with myth .	Mark Pellington's latest pop thriller is as scary and overenergic as scary and subtly in love with myth.
1	the son of the bride ' s humour is born out of an engaging storyline , which also is n't embarrassed to make you reach for the tissues .	the son of the bride's humor was born of an exciting story, which is not embarrassed either to make you reach the fabrics.
1	every moment crackles with tension , and by the end of the flick , you ' re on the edge of your seat .	Every moment cracks with tension, and at the end of the film, you're on the edge of your seat.
1	it ' s burns ' visuals , characters and his punchy dialogue , not his plot , that carry waydowntown .	It's burn pictures, characters and his punched dialogue, not his plot, that carry waydowntown.
0	her fans walked out muttering words like ` ` horrible ' ' and ` ` terrible , ' ' but had so much fun dissing the film that they did n't mind the ticket cost .	His fans came up with murmuring words like '''horror'' and ''horrible,'' but had so much fun dissected the film that they didn't care about the cost of the ticket.
1	the way home is an ode to unconditional love and compassion garnered from years of seeing it all , a condition only the old are privy to , and ... often misconstrued as weakness .	The way to home is an ode to unconditional love and compassion gathered years of seeing everything, a condition that elders are initiated to, and... often misinterpreted as weakness.
0	if this is cinema , i pledge allegiance to cagney and lacey .	If it's cinema, I promise allegiance to cagney and lace.
1	those who trek to the ` plex predisposed to like it probably will enjoy themselves .	Those who trek to the plex predisposed to love it will probably enjoy themselves.
0	... this story gets sillier , not scarier , as it goes along ...	...this story is getting sillier, no more frightening, as it happens...
1	it ' s a ripper of a yarn and i for one enjoyed the thrill of the chill .	It's a wire inverter and I enjoyed the thrill of the chill.
0	feeble comedy .	Weak comedy.
0	this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .	This is the kind of film where people who have never chosen a lock easily do it after a few trials and become expert fighters after a few weeks.
1	and there ' s the inimitable diaz , holding it all together .	And there's the inimitable diaz, holding everything together.
1	a showcase for both the scenic splendor of the mountains and for legendary actor michel serrault , the film is less successful on other levels .	a showcase both for the scenic splendor of the mountains and for the legendary actor michel serrault, the film is less successful on other levels.
0	sandra bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .	Sandra bulbock, despite having minimized her beautiful looks, wears a little too much ain't - she cut luggage in her main role as a troubled homicide cop and determined to shoot heavy things far enough.
1	bolstered by exceptional performances and a clear-eyed take on the economics of dealing and the pathology of ghetto fabulousness .	reinforced by exceptional performance and a clear look at the economy of trafficking and the pathology of the fabulous ghetto.
1	there ' s none of the happily-ever - after spangle of monsoon wedding in late marriage - - and that ' s part of what makes dover kosashvili ' s outstanding feature debut so potent .	There is none of the happy - after the spanking of monsoon marriage in late marriage - and this is part of what makes Dover kosashvili's exceptional debut of feature film so powerful.
1	an inventive , absorbing movie that ' s as hard to classify as it is hard to resist .	an inventive, absorbent film that is as difficult to classify as it is difficult to resist.
0	we just do n't really care too much about this love story .	We don't care too much about this love thing.
0	i found myself growing more and more frustrated and detached as vincent became more and more abhorrent .	I found myself more and more frustrated and detached as vincent became more and more odious.
1	fans of critics ' darling band wilco will marvel at the sometimes murky , always brooding look of i am trying to break your heart .	fans of reviews'group dear wilco will marvel at the occasionally troubled, always the inclining aspect of I try to break your heart.
0	the film is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own .	The film is so busy referring to other movies and trying to be other movies that it does not manage to have a heart, mind or humour of its own.
0	perhaps the grossest movie ever made .	Maybe the most rude movie ever made.
0	billy crystal and robert de niro sleepwalk through vulgarities in a sequel you can refuse .	crystal and robert of niro sleepwalk through vulgarities in a suite that you can refuse.
0	as original and insightful as last week ' s episode of behind the music .	as original and insightful as last week's episode from behind the music.
0	then again , in a better movie , you might not have noticed .	Then again, in a better movie, you might not have noticed.
0	unfortunately , kapur modernizes a . e . w . mason ' s story to suit the sensibilities of a young american , a decision that plucks ` ` the four feathers ' ' bare .	"Unfortunately, kapur modernizes the story of a young American, a decision that takes "" the four feathers "" naked."
0	when your subject is illusion versus reality , should n't the reality seem at least passably real ?	When your subject is the illusion against reality, shouldn't reality seem at least unrealistic?
0	with very little to add beyond the dark visions already relayed by superb recent predecessors like swimming with sharks and the player , this latest skewering ... may put off insiders and outsiders alike .	with very little to add beyond the dark visions already relayed by superb recent predecessors such as swimming with sharks and the player, this last skewer... can put aside initiates as well as strangers.
1	the sword fighting is well done and auteuil is a goofy pleasure .	The fight of the sword is well done and auteuil is a ridiculous pleasure.
1	i ' m sure mainstream audiences will be baffled , but , for those with at least a minimal appreciation of woolf and clarissa dalloway , the hours represents two of those well spent .	I am sure that traditional audiences will be disconcerted, but for those who have at least a minimal appreciation of wool and clarissa dalloway, the hours represent two of those well spent.
1	i am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray richard dawson .	I am very amused by the idea that we have reached a point in society where it was considered quite important to make a film in which someone must be engaged to represent Richard Dawson.
1	the performances are immaculate , with roussillon providing comic relief .	performance is immaculate, with the russillon providing a comic relief.
1	but it is entertaining on an inferior level .	but it is entertaining on a lower level.
1	a solidly constructed , entertaining thriller that stops short of true inspiration .	a thriller firmly built, entertaining that stops short of real inspiration.
0	slap me , i saw this movie .	Smack me, I saw this movie.
0	a handsome but unfulfilling suspense drama more suited to a quiet evening on pbs than a night out at an amc .	a show of beautiful but unfinished suspense more suitable for a quiet evening on pbs than an evening at the amc.
1	mostly honest , this somber picture reveals itself slowly , intelligently , artfully .	Mostly honest, this dark image reveals itself slowly, intelligently, cleverly.
0	instead of a witty expose on the banality and hypocrisy of too much kid-vid , we get an ugly , mean-spirited lashing out by an adult who ' s apparently been forced by his kids to watch too many barney videos .	Instead of an exhibition full of minds about the banality and hypocrisy of too many kid-vids, we get a ugly, mean spirit ripped off by an adult who was apparently forced by his children to watch too many Barney videos.
1	and for many of us , that ' s good enough .	And for many of us, it's pretty good.
1	henry bean ' s thoughtful screenplay provides no easy answers , but offers a compelling investigation of faith versus intellect	The thoughtful scenario of Henry Bean does not provide easy answers, but offers a convincing investigation of faith with respect to intelligence
0	imperfect ?	imperfect?
1	this one is not nearly as dreadful as expected .	This one is not almost as terrible as expected.
0	bad and baffling from the get-go .	Bad and gag back and forth.
0	perry ' s good and his is an interesting character , but ` ` serving sara ' ' has n't much more to serve than silly fluff .	Perry's good and his is an interesting character, but ``serve sara'' has not much more to serve than stupid fluffs.
0	chai ' s structure and pacing are disconcertingly slack .	The structure and rhythm of the cellar are disconcerting.
1	ratliff ' s two previous titles , plutonium circus and purgatory county show his penchant for wry , contentious configurations , and this film is part of that delicate canon .	The two previous ratliff titles, the plutonium circus and the purgatory county show its inclination for wry, the disputed configurations, and this film is part of this delicate cannon.
0	i have to admit that i am baffled by jason x .	I have to admit, I'm confused by Jason x.
0	seemingly a vehicle to showcase the canadian ' s inane ramblings , stealing harvard is a smorgasbord of soliloquies about nothing delivered by the former mr . drew barrymore .	Apparently a vehicle to highlight the Canadian's unborn twigs, flying Harvard is a smorgasbord of soliloques on nothing delivered by former Mr. Barrymore drawn.
1	has a certain ghoulish fascination , and generates a fair amount of b-movie excitement .	has some fanciful fascination, and generates a good amount of b-movie excitement.
0	this tale has been told and retold ; the races and rackets change , but the song remains the same .	This story has been told and recounted; races and snowshoes change, but the song remains the same.
1	visually captivating .	Visually captivating.
0	first-time director joão pedro rodrigues ' unwillingness to define his hero ' s background or motivations becomes more and more frustrating as the film goes on .	The fact that director João Pedro Rodrigues did not want to define the background or motivations of his hero becomes increasingly frustrating as the film continues.
0	it ' s mildly amusing , but i certainly ca n't recommend it .	It's a little fun, but I certainly don't recommend it.
1	a powerful , chilling , and affecting study of one man ' s dying fall .	a powerful, cold, and affecting the study of the dying fall of a man.
1	notwithstanding my problem with the movie ' s final half hour , i ' m going to recommend secretary , based on the wonderful acting clinic put on by spader and gyllenhaal , and also the unique way shainberg goes about telling what at heart is a sweet little girl -	Despite my problem with the last half hour of the film, I will recommend secretary, based on the wonderful interpretation clinic put on by spader and gyllenhaal, and also the unique way Shainberg talks about what at heart is a sweet little girl -
0	the film is so packed with subplots involving the various silbersteins that it feels more like the pilot episode of a tv series than a feature film .	The film is so full of subplots involving the different silbersteins that it feels more like the pilot episode of a television series than a feature film.
1	for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers ' sporadic dips into pop freudianism .	for all the dolorous topping, secretary is a great romance that maintains a surprisingly dynamic tone throughout, despite some of the writers' sporadically plunge into pop fridalism.
0	terrible .	That's terrible.
1	the emotion is impressively true for being so hot-blooded , and both leads are up to the task .	the emotion is impressively true to be so cool, and both tracks are up to the task.
0	- greaseballs mob action-comedy .	- The grease balls of the action-comedy mafia.
1	though writer / director bart freundlich ' s film ultimately becomes a simplistic story about a dysfunctional parent-child relationship , it has some special qualities and the soulful gravity of crudup ' s anchoring performance .	Although the film by writer/director Bart freundlich eventually becomes a simplistic story about a dysfunctional parent-child relationship, it has some special qualities and the soulful gravity of crudup anchor performance.
1	a forceful drama of an alienated executive who re-invents himself .	a powerful drama of an alienated executive who reinvents himself.
0	behan ' s memoir is great material for a film - - rowdy , brawny and lyrical in the best irish sense - - but sheridan has settled for a lugubrious romance .	Behan's memoirs are an excellent material for a film - rowdy, brandy and lyrical in the best Irish sense - but the sheridan has settled for a gruesome romance.
0	as violent , profane and exploitative as the most offensive action flick you ' ve ever seen .	as violent, profane and exploitative as the most offensive action you've ever seen.
0	` the war of the roses , ' trailer-trash style .	"""The Rose War"", trailer-trash style."
1	you may be captivated , as i was , by its moods , and by its subtly transformed star , and still wonder why paul thomas anderson ever had the inclination to make the most sincere and artful movie in which adam sandler will probably ever appear .	You can be captivated, as I have been, by her moods, and by her subtly transformed star, and still wonder why paul thomas anderson ever had the desire to make the most sincere and artificious film in which Adam Sandler will probably never appear.
0	those seeking a definitive account of eisenstein ' s life would do better elsewhere .	Those looking for a definitive account of Eisenstein's life would do better elsewhere.
0	its inescapable absurdities are tantamount to insulting the intelligence of anyone who has n't been living under a rock ( since sept . 11 ) .	His inescapable absurdities are tantamount to insulting the intelligence of anyone who has not lived under a rock (since Sept. 11 ).
0	squandering his opportunity to make absurdist observations , burns gets caught up in the rush of slapstick thoroughfare .	waste his opportunity to make absurd observations, burns are caught in the rush of the slap track.
0	once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea is n't funny .	Once the expectation of laughter has been cancelled by some obscenity is at hand, even the funniest idea is not funny.
1	both an admirable reconstruction of terrible events , and a fitting memorial to the dead of that day , and of the thousands thereafter .	both an admirable reconstruction of the terrible events, and a suitable memorial for the dead of this day, and thousands thereafter.
1	like the rugrats movies , the wild thornberrys movie does n't offer much more than the series , but its emphasis on caring for animals and respecting other cultures is particularly welcome .	Like rugrat films, the wild thorn film does not offer much more than the series, but its emphasis on animal care and respect for other cultures is particularly welcome.
0	where this was lazy but enjoyable , a formula comedy redeemed by its stars , that is even lazier and far less enjoyable .	where it was lazy but pleasant, a formula comedy bought by its stars, which is even more laser and much less pleasant.
0	vaguely interesting , but it ' s just too too much .	vaguely interesting, but it's just too much.
1	what a bewilderingly brilliant and entertaining movie this is .	What an incredibly bright and entertaining movie is.
0	there are just too many characters saying too many clever things and getting into too many pointless situations .	There are just too many characters saying too many smart things and entering too many useless situations.
1	no , i love it ... hell , i dunno .	No, I love it... hell, I don't know.
0	like a pack of dynamite sticks , built for controversy .	like a bunch of dynamite sticks, built for controversy.
0	below is well below expectations .	below is far below expectations.
1	although what time offers tsai ' s usual style and themes , it has a more colorful , more playful tone than his other films .	Although the time offers the usual style and themes of Tsai, it has a more colorful, more playful tone than its other films.
1	a stirring tribute to the bravery and dedication of the world ' s reporters who willingly walk into the nightmare of war not only to record the events for posterity , but to help us clearly see the world of our making .	a vibrant tribute to the bravery and dedication of world reporters who voluntarily enter the nightmare of war not only to record events for posterity, but to help us see clearly the world of our creation.
0	given the fact that virtually no one is bound to show up at theatres for it , the project should have been made for the tube .	Since practically no one is required to appear in the theatres for her, the project should have been made for the tube.
0	too infuriatingly quirky and taken with its own style .	too eccentricly eccentric and taken with its own style.
0	with the dog days of august upon us , think of this dog of a movie as the cinematic equivalent of high humidity .	with the August dog days on us, think of this dog of a movie as the kinematic equivalent of high humidity.
0	it gives poor dana carvey nothing to do that is really funny , and then expects us to laugh because he acts so goofy all the time .	He gives poor dana carvey nothing to do that is really funny, and then expects us to laugh because he acts so heinous all the time.
0	as a director , eastwood is off his game - - there ' s no real sense of suspense , and none of the plot ` surprises ' are really surprising .	"as a director, Eastwood is out of his game - - there is no real sense of suspense, and none of the ""surprises"" of the complot is really surprising."
1	birot creates a drama with such a well-defined sense of place and age - - as in , 15 years old - - that the torments and angst become almost as operatic to us as they are to her characters .	birot creates a drama with such a well-defined sense of place and age - as in, 15 years - that torment and anguish become almost as operatic for us as for his characters.
1	the four feathers has rewards , from the exoticism of its seas of sand to the fierce grandeur of its sweeping battle scenes .	The four feathers have rewards, from the exoticism of his seas of sand to the fierce grandeur of his battle scenes.
0	just a string of stale gags , with no good inside dope , and no particular bite .	Just a chain of obscene gags, no good inside the dope, and no particular bite.
1	raimi crafted a complicated hero who is a welcome relief from the usual two-dimensional offerings .	raimi has designed a complicated hero that is a welcome relief from the usual two-dimensional offers.
0	amazingly lame .	Surprisingly lame.
1	a fascinating , bombshell documentary that should shame americans , regardless of whether or not ultimate blame finally lies with kissinger .	a fascinating documentary, bombshell that should shame the Americans, no matter whether or not ultimate blame finally with kisser.
1	great dragons !	Big dragons!
1	interesting and thoroughly unfaithful version of carmen	Interesting and completely unfaithful version of carmen
1	shiner can certainly go the distance , but is n't world championship material	shiner can certainly go the distance, but is not world championship material
1	the pleasure of read my lips is like seeing a series of perfect black pearls clicking together to form a string .	The pleasure of reading my lips is like seeing a series of perfect black beads by clicking together to form a rope.
0	or maybe ` ` how will you feel after an 88 - minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering ? ' '	Or, perhaps, `‘ how will you feel after a 88 - minute rock tear with action confined to firing a firearm and random shaking of glass?''
0	an allegory concerning the chronically mixed signals african american professionals get about overachieving could be intriguing , but the supernatural trappings only obscure the message .	an allegory about chronically mixed signals African American professionals get about accomplishment could be intriguing, but supernatural traps only mask the message.
0	too long , and larded with exposition , this somber cop drama ultimately feels as flat as the scruffy sands of its titular community .	This dark cop drama finally feels as flat as the scrambled sands of its host community.
1	the film ' s unhurried pace is actually one of its strengths .	The fast pace of the film is actually one of its strengths.
1	in the new release of cinema paradiso , the tale has turned from sweet to bittersweet , and when the tears come during that final , beautiful scene , they finally feel absolutely earned .	in the new release of the cinema paradise, the tale has gone from sweet to sweet bitter, and when the tears come during this final, beautiful scene, they finally feel absolutely won.
1	it ' s fun , splashy and entertainingly nasty .	It's fun, splattering and entertaining.
0	this is a remake by the numbers , linking a halfwit plot to a series of standup routines in which wilson and murphy show how funny they could have been in a more ambitious movie .	It's a remake by the numbers, linking a mid-cooked plot to a series of standup routines in which wilson and murphy show how funny they could have been in a more ambitious film.
1	leigh is one of the rare directors who feels acting is the heart and soul of cinema .	Leigh is one of the few directors who feels active is the heart and soul of cinema.
0	( t ) he film is never sure to make a clear point - - even if it seeks to rely on an ambiguous presentation .	( t ) the film is never sure to make a clear point - even if it seeks to rely on an ambiguous presentation.
0	` ` ... something appears to have been lost in the translation this time .	Something seems to have been lost in the translation this time.
0	` ` sorority boys ' ' was funnier , and that movie was pretty bad .	"""Sorority boys"" was funnier, and this movie was pretty bad."
0	a film without surprise geared toward maximum comfort and familiarity .	an unsurprising film oriented towards maximum comfort and familiarity.
0	this pathetic junk is barely an hour long .	This pathetic shit is barely an hour long.
1	béart and berling are both superb , while huppert ... is magnificent .	Beart and berling are both superb, while Huppert... is beautiful.
1	what makes this film special is serry ' s ability to take what is essentially a contained family conflict and put it into a much larger historical context .	What makes this film special is Serry's ability to take what is essentially a confined family conflict and put it in a much larger historical context.
0	a kilted jackson is an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceived action pieces .	a kilted jackson is a troubling view, and sound indicator, if you want, off-kilter character, which rumbles without goal through poorly designed action pieces.
1	a fascinating examination of the joyous , turbulent self-discovery made by a proper , middle-aged woman .	a fascinating examination of the joyous, turbulent self-discovery made by a good middle-aged woman.
0	should have been worth cheering as a breakthrough but is devoid of wit and humor .	Should have been encouraging as a breakthrough, but lacks spirit and humour.
0	why ?	Why?
1	apart from anything else , this is one of the best-sustained ideas i have ever seen on the screen .	Except for something else, it's one of the best ideas I've ever seen on the screen.
0	the plot has a number of holes , and at times it ' s simply baffling .	the plot has a number of holes, and sometimes it is simply baffling.
0	the problem with all of this : it ' s not really funny .	the problem with all this: it's not really funny.
0	... a pretentious and ultimately empty examination of a sick and evil woman .	...a pretentious and finally empty examination of a sick and wicked woman.
0	overwrought , melodramatic bodice-ripper .	Underwear, melodramatic grinders.
1	kids should have a stirring time at this beautifully drawn movie .	Children should have a restless time in this beautifully drawn film.
1	provides a very moving and revelatory footnote to the holocaust .	provides a very moving and revelatory footnote to the Holocaust.
1	a solidly entertaining little film .	A very entertaining little film.
1	an off-beat and fanciful film about the human need for monsters to blame for all that is amiss in the world .	a crazy, crazy movie about the human need for monsters to blame for everything that's missing in the world.
1	driven by a fantastic dual performance from ian holm ... the film is funny , insightfully human and a delightful lark for history buffs .	animated by a fantastic double performance by ian Holm... the film is funny, human insight and a delicious arch for history buffs.
0	just another combination of bad animation and mindless violence ... lacking the slightest bit of wit or charm .	Just another combination of bad animation and mindless violence... lacks the slightest bit of mind or charm.
0	the first question to ask about bad company is why anthony hopkins is in it .	The first question to ask about the wrong company is why anthony hopkins is in it.
1	deliciously slow .	Deliciously slow.
1	a movie i loved on first sight and , even more important , love in remembrance .	a film that I loved at first sight and, even more importantly, love in memory.
1	enthusiastically taking up the current teen movie concern with bodily functions , walt becker ' s film pushes all the demographically appropriate comic buttons .	Appreciating with enthusiasm the adolescent's current concern about bodily functions, Walt Becker's film pushes all the appropriate comic buttons from a demographic point of view.
1	by and large this is mr . kilmer ' s movie , and it ' s his strongest performance since the doors .	It's Mr. Kilmer's film, and it's his strongest performance since the doors.
1	a special kind of movie , this melancholic film noir reminded me a lot of memento ...	A special kind of film, this black melancholic film reminded me of a lot of memories...
0	something must have been lost in the translation .	Something must have been lost in the translation.
0	the comedy death to smoochy is a rancorous curiosity : a movie without an apparent audience .	The death of the comedy with smoke is a gruesome curiosity: a film with no apparent audience.
1	the modern master of the chase sequence returns with a chase to end all chases	the modern master of the hunting sequence returns with a pursuit to put an end to all prosecution
1	fontaine masterfully creates a portrait of two strong men in conflict , inextricably entwined through family history , each seeing himself in the other , neither liking what he sees .	Fountain creates with master a portrait of two strong men in conflict, inextricably linked by the history of the family, each seeing himself in the other, nor loving what he sees.
0	trailer trash cinema so uncool the only thing missing is the ` ` gadzooks ! ' '	"trailer cinema so uncool the only thing missing is the ""gadzooks! """
1	diaz , applegate , blair and posey are suitably kooky which should appeal to women and they strip down often enough to keep men alert , if not amused .	diaz, applegate, brair and posey are suitably kooky that should appeal to women and they detach themselves often enough to keep men alert, if not amused.
1	the film ' s intimate camera work and searing performances pull us deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that ' s opened between them .	The intimate camera work of the film and the performances at sea bring us deeply into the confusion and pain of the girls as they struggle tragically to understand the gap of knowledge that has opened up between them.
0	it almost feels as if the movie is more interested in entertaining itself than in amusing us .	He almost feels like the film is more interested in having fun than in having fun.
1	call it magic realism or surrealism , but miss wonton floats beyond reality with a certain degree of wit and dignity .	that he calls magic realism or surrealism, but miss wonton floats beyond reality with a certain degree of mind and dignity.
1	elegant and eloquent ( meditation ) on death and that most elusive of passions , love .	elegant and eloquent (meditation) about death and that the most elusive of passions, love.
1	art-house to the core , read my lips is a genre-curling crime story that revives the free-wheeling noir spirit of old french cinema .	art house in the heart, reading my lips is a story of gender crime that revives the free black spirit of old French cinema.
0	never inspires more than an interested detachment .	never inspires more than an interested detachment.
0	i ' ll stay with the stage versions , however , which bite cleaner , and deeper .	I'll stay with the stage versions, however, that bite cleaner, and deeper.
1	i thought the relationships were wonderful , the comedy was funny , and the love ` real ' .	"I thought relationships were wonderful, comedy was funny, and love was ""real""."
1	the banter between calvin and his fellow barbers feels like a streetwise mclaughlin group ... and never fails to entertain .	The berce between Calvin and his barber companions feels like a group of mclaughlin in the street... and never fails to entertain.
0	this painfully unfunny farce traffics in tired stereotypes and encumbers itself with complications ... that have no bearing on the story .	This painfully unpunished stuffing of tired stereotypes and taking on complications... that have no bearing on history.
0	instead of panoramic sweep , kapur gives us episodic choppiness , undermining the story ' s emotional thrust .	instead of panoramic scanning, kapur gives us the episodic helico, undermining the emotional thrust of history.
0	there ' s not a comedic moment in this romantic comedy .	There's no comic moment in this romantic comedy.
1	an alternately fascinating and frustrating documentary .	an alternately fascinating and frustrating documentary.
1	familiar but utterly delightful .	familiar but quite delicious.
1	writer / director burr steers emphasizes the q in quirky , with mixed results .	scriptwriter / director burr burs focuses on q in eccentric, with mixed results.
0	by the final whistle you ' re convinced that this mean machine was a decent tv outing that just does n't have big screen magic .	by the final whistle you are convinced that this average machine was a decent television output that just doesn't have big screen magic.
0	contains all the substance of a twinkie - - easy to swallow , but scarcely nourishing .	contains all the substance of a twink - - easy to swallow, but barely nourishing.
0	final verdict : you ' ve seen it all before .	Final verdict: you've seen everything before.
0	a waste of fearless purity in the acting craft .	a waste of intrepid purity in the profession of actor.
